1 1:5 2:26.45 3:3.20427 4:0.941724 5:0.25237 6:0.47052 7:0.2601 8:0.415865 9:0.524507 10:0.524507 11:42.9505 12:67.8581 13:0.666667 14:0.853098 15:0.900724 16:12.2125 17:4 18:-56.8 19:8 20:47.0903
1 1:0 2:0 3:1.80981 4:0.551024 5:0.436088 6:0.515208 7:0.688979 8:0.818039 9:0.801034 10:0.8385 11:52.0652 12:52.655 13:0.333333 14:0.975677 15:0.984121 16:14.6405 17:0 18:0 19:2 20:286.625
1 1:2 2:19.0938 3:2.63494 4:2.09525 5:0.345108 6:0.665664 7:0.510072 8:0.569127 9:0.748682 10:0.572053 11:46.7026 12:54.8274 13:0.444444 14:0.98275 15:0.988758 16:13.2222 17:2 18:19.0938 19:1 20:-105.656
1 1:1 2:-20.8438 3:3.31161 4:1.19753 5:0.38521 6:0.542302 7:0.379 8:0.444148 9:0.350183 10:0.413848 11:41.9514 12:88.4931 13:0.444444 14:0.992242 15:0.991081 16:11.9414 17:1 18:-20.8438 19:1 20:-20.8438
1 1:4 2:19.1094 3:8.74935 4:0.173787 5:0.268136 6:0.238907 7:0.339881 8:0.320323 9:0.295693 10:0.295693 11:37.4955 12:78.2386 13:0.666667 14:0.999034 15:0.998391 16:10.7215 17:3 18:-78.5156 19:4 20:-88.2604
1 1:0 2:0 3:1.40473 4:0.767981 5:0.626406 6:0.459269 7:0.396995 8:0.52577 9:0.431456 10:0.431456 11:39.6796 12:64.6347 13:0.666667 14:0.881631 15:0.915434 16:11.3216 17:0 18:0 19:0 20:0
1 1:4 2:18.3594 3:2.39067 4:0.388323 5:0.101339 6:0.1964 7:0.381619 8:0.539099 9:0.281734 10:0.281734 11:35.6701 12:64.1424 13:0.666667 14:0.959352 15:0.978348 16:10.217 17:4 18:18.3594 19:3 20:-246.391
1 1:0 2:0 3:3.45303 4:0.198014 5:0.232797 6:0.182644 7:0.165325 8:0.265743 9:0.176576 10:0.192222 11:31.6848 12:63.041 13:0.666667 14:0.998159 15:0.998536 16:9.1066 17:0 18:0 19:0 20:0
1 1:0 2:0 3:1.69896 4:0.75071 5:0.608468 6:0.426708 7:0.233413 8:0.514919 9:0.444593 10:0.444593 11:37.3124 12:54.0122 13:0.666667 14:0.904372 15:0.880203 16:10.671 17:1 18:71.875 19:2 20:160.375
1 1:1 2:17.25 3:3.71389 4:4.09182 5:0.171826 6:0.149648 7:0.122578 8:0.212351 9:0.132374 10:0.132374 11:26.9817 12:65.4472 13:0.666667 14:0.998533 15:0.997636 16:7.78222 17:1 18:-22.0938 19:1 20:-22.0938
1 1:0 2:0 3:3.78083 4:0.61949 5:0.346567 6:0.221636 7:0.54398 8:0.346553 9:0.341378 10:0.305584 11:36.6754 12:53.5157 13:0.666667 14:0.966733 15:0.975595 16:10.4951 17:0 18:0 19:2 20:287.25
1 1:0 2:17.75 3:2.91133 4:4.09382 5:0.183416 6:0.289249 7:0.248147 8:0.280683 9:0.280522 10:0.281109 11:36.6317 12:53.6755 13:0.666667 14:0.994979 15:0.99641 16:10.4831 17:0 18:17.75 19:0 20:17.75
