1 1:-1 2:-5.125 3:1.92479 4:0.509396 5:0.67586 6:0.601214 7:0.175881 8:0.530335 9:0.189019 10:0.189019 11:24.642 12:71.641 13:0.333333 14:0.935194 15:0.922141 16:7.11831 17:-1 18:-5.125 19:-2 20:-61
1 1:-1 2:-57.375 3:4.1311 4:0.190615 5:0.234138 6:0.721954 7:0.214834 8:0.26119 9:0.28416 10:0.250995 11:34.1675 12:74.0337 13:0.166667 14:0.930051 15:0.981609 16:9.7997 17:-1 18:-57.375 19:-3 20:-117.021
1 1:0 2:0 3:2.42515 4:0.689187 5:0.819269 6:0.316064 7:0.189297 8:0.24072 9:0.278137 10:0.36185 11:39.7888 12:77.2636 13:0.166667 14:0.970846 15:0.982602 16:11.3515 17:0 18:0 19:-6 20:-153.188
-1 1:-3 2:-25.2292 3:2.92565 4:0.253031 5:0.462955 6:0.60268 7:2.79116 8:2.18421 9:4.25929 10:4.25929 11:81.1213 12:36.3578 13:1 14:0.894811 15:0.863369 16:21.6915 17:0 18:66.5208 19:3 20:80.4688
1 1:0 2:-16.1875 3:4.08901 4:0.500481 5:0.377577 6:0.429284 7:0.0892809 8:0.289063 9:0.125939 10:0.125939 11:24.0283 12:84.9922 13:0.444444 14:0.974322 15:0.973939 16:6.94368 17:0 18:-16.1875 19:0 20:-16.1875
1 1:1 2:10.75 3:1.24419 4:0.501028 5:0.189453 6:0.276075 7:0.114997 8:0.58172 9:0.17645 10:0.025786 11:1.72431 12:76.4209 13:0.444444 14:0.969564 15:0.974676 16:0.501941 17:1 18:10.75 19:1 20:10.75
1 1:2 2:10.5 3:2.12204 4:1.26164 5:0.373888 6:0.925323 7:0.278138 8:0.420807 9:0.46554 10:0.181319 11:25.5658 12:85.9591 13:0.166667 14:0.936613 15:0.938267 16:7.38081 17:1 18:-75.6875 19:2 20:-35.1406
1 1:-1 2:-7 3:2.39658 4:0.600786 5:0.562618 6:0.834961 7:0.163543 8:0.273233 9:0.372355 10:0.493005 11:42.7144 12:89.6839 13:0.166667 14:0.93887 15:0.926021 16:12.1486 17:-1 18:-7 19:-1 20:119.938
1 1:0 2:-9.1875 3:4.48358 4:0.394217 5:0.270886 6:0.285268 7:0.223708 8:0.292974 9:0.216135 10:0.192951 11:30.5106 12:88.9337 13:0.666667 14:0.997581 15:0.977783 16:8.77729 17:0 18:-9.1875 19:-1 20:-102.469
1 1:-1 2:-4.1875 3:1.38576 4:0.92329 5:0.645989 6:0.638635 7:0.274897 8:0.384131 9:0.425166 10:0.425166 11:41.7077 12:83.4912 13:0.166667 14:0.95807 15:0.965062 16:11.8752 17:0 18:66.25 19:0 20:37.75
-1 1:-1 2:-4.1875 3:1.54044 4:0.987749 5:0.344163 6:0.901569 7:0.559116 8:0.479579 9:0.858704 10:0.858704 11:49.4369 12:43.5502 13:0.444444 14:0.841272 15:0.840615 16:13.9492 17:0 18:66.25 19:0 20:37.75
